#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
328,Mahbubnagar,11,GEN,Telangana,Ap Jithender Reddy,Telangana Rashtra Samithi,"14,18,672","10,14,800",71.5 %,"2,590",0.3%,AC View
329,Mahesana,4,GEN,Gujarat,Patel Jayshreeben Kanubhai,Bharatiya Janta Party,"14,98,219","10,04,258",67.0 %,"2,08,891",20.8%,AC View
330,Mainpuri,21,GEN,Uttar Pradesh [2000 Onwards],Mulayam Singh Yadav,Samajwadi Party,"16,53,065","9,99,265",60.5 %,"3,64,666",36.5%,AC View
331,Malappuram,6,GEN,Kerala,E. Ahamed,Indian Union Muslim League,"11,98,444","8,53,467",71.2 %,"1,94,739",22.8%,AC View
332,Maldaha Dakshin,8,GEN,West Bengal,Abu Hasem Khan Chowdhury,Indian National Congress,"13,47,143","10,92,407",81.1 %,"1,64,111",15.0%,AC View
333,Maldaha Uttar,7,GEN,West Bengal,Mausam Noor,Indian National Congress,"14,25,428","11,62,985",81.6 %,"65,705",5.6%,AC View
334,Malkajgiri,7,GEN,Telangana,Ch.Malla Reddy,Telugu Desam,"31,83,325","16,20,397",50.9 %,"28,371",1.8%,AC View
335,Mandi,2,GEN,Himachal Pradesh,Ram Swaroop Sharma,Bharatiya Janta Party,"11,50,408","7,26,094",63.1 %,"39,856",5.5%,AC View
336,Mandla,14,ST,Madhya Pradesh [2000 Onwards],Faggan Singh Kulaste,Bharatiya Janta Party,"18,24,424","12,18,518",66.8 %,"1,10,469",9.1%,AC View
337,Mandsour,23,GEN,Madhya Pradesh [2000 Onwards],Sudhir Gupta,Bharatiya Janta Party,"16,26,571","11,61,349",71.4 %,"3,03,649",26.1%,AC View
338,Mandya,20,GEN,Karnataka,C.S.Puttaraju,Janata Dal (Secular),"16,69,262","11,92,638",71.5 %,"5,518",0.5%,AC View
339,Mangaldoi,8,GEN,Assam,Ramen Deka,Bharatiya Janta Party,"15,15,676","12,33,237",81.4 %,"22,884",1.9%,AC View
340,Mathura,17,GEN,Uttar Pradesh [2000 Onwards],Hema Malini,Bharatiya Janta Party,"16,82,260","10,76,868",64.0 %,"3,30,743",30.7%,AC View
341,Mathurapur,20,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,"14,88,784","12,65,531",85.0 %,"1,38,436",10.9%,AC View
342,Maval,33,GEN,Maharashtra,Appa Alias Shrirang Chandu Barne,Shiv Sena,"19,53,741","11,74,335",60.1 %,"1,57,397",13.4%,AC View
